Старосамбірська ЗСШ №1;6035;4760
Добромильська ЗСШ;50839;4883
Міженецька ЗСШ;28806;57
Новоміська ЗСШ;5288;956
Новоміська ЗСШ;5290;928
Нижанковицька ЗСШ;428414;451
Нижанковицька ЗСШ;408342;596
Нижанковицька ЗСШ;3220201;1117
Нижанковицька ЗСШ;2397422;1192
Нижанковицька ЗСШ;2476261;400
Надибська ЗСШ;2336128;1104
Сусідовицька ЗСШ;21863;1186
Тернавська ЗСШ;15513;15
Чижківська ЗСШ ;4187190;644
Чижківська ЗСШ ;4179669;767
Зоротовицька ЗСШ ;28509;355
Дроздовицька ЗСШ ;6076;230
